Region1,Region2,Similarity
data/row_0_col_1638/region_4_with_border.png,data/row_0_col_1638/region_2_with_border.png,8739
data/row_0_col_1638/region_2_with_border.png,data/row_0_col_1638/region_4_with_border.png,8739
data/row_0_col_1638/region_5_with_border.png,data/row_0_col_1638/region_4_with_border.png,4118
data/row_0_col_1638/region_4_with_border.png,data/row_0_col_1638/region_5_with_border.png,4118
data/row_0_col_1638/region_11_with_border.png,data/row_0_col_1638/region_9_with_border.png,2649
data/row_0_col_1638/region_9_with_border.png,data/row_0_col_1638/region_11_with_border.png,2649
data/row_0_col_1638/region_9_with_border.png,data/row_0_col_1638/region_12_with_border.png,2451
data/row_0_col_1638/region_12_with_border.png,data/row_0_col_1638/region_9_with_border.png,2451
data/row_0_col_1638/region_13_with_border.png,data/row_0_col_1638/region_14_with_border.png,2158
data/row_0_col_1638/region_14_with_border.png,data/row_0_col_1638/region_13_with_border.png,2158
data/row_0_col_1638/region_1_with_border.png,data/row_0_col_1638/region_3_with_border.png,1644
data/row_0_col_1638/region_3_with_border.png,data/row_0_col_1638/region_1_with_border.png,1644
data/row_0_col_1638/region_6_with_border.png,data/row_0_col_1638/region_4_with_border.png,1381
data/row_0_col_1638/region_4_with_border.png,data/row_0_col_1638/region_6_with_border.png,1381
data/row_0_col_1638/region_4_with_border.png,data/row_0_col_1638/region_7_with_border.png,1265
data/row_0_col_1638/region_7_with_border.png,data/row_0_col_1638/region_4_with_border.png,1265
data/row_0_col_1638/region_5_with_border.png,data/row_0_col_1638/region_2_with_border.png,1218
data/row_0_col_1638/region_2_with_border.png,data/row_0_col_1638/region_5_with_border.png,1218
data/row_0_col_1638/region_8_with_border.png,data/row_0_col_1638/region_9_with_border.png,1027
data/row_0_col_1638/region_9_with_border.png,data/row_0_col_1638/region_8_with_border.png,1027
data/row_0_col_1638/region_10_with_border.png,data/row_0_col_1638/region_3_with_border.png,944
data/row_0_col_1638/region_3_with_border.png,data/row_0_col_1638/region_10_with_border.png,944
data/row_0_col_1638/region_5_with_border.png,data/row_0_col_1638/region_7_with_border.png,743
data/row_0_col_1638/region_7_with_border.png,data/row_0_col_1638/region_5_with_border.png,743
data/row_0_col_1638/region_6_with_border.png,data/row_0_col_1638/region_2_with_border.png,401
data/row_0_col_1638/region_2_with_border.png,data/row_0_col_1638/region_6_with_border.png,401
data/row_0_col_1638/region_8_with_border.png,data/row_0_col_1638/region_3_with_border.png,145
data/row_0_col_1638/region_3_with_border.png,data/row_0_col_1638/region_8_with_border.png,145
